Name,Url,Description
Links DB,\\PLY2FS01\RRJ3FH$\rrj3fh\03 Files\00_LinksNavigator\LinksDatabase.accdb,CategoryId
Bosch Ignition Tools SW Community,https://inside-wiki.bosch.com/confluence/display/ignibios/Home,CategoryId
C# Color Object List,https://docs.microsoft.com/en-us/dotnet/api/system.windows.media.colors?view=netframework-4.8,CategoryId
Windows UI Dark Form,https://ourcodeworld.com/articles/read/517/how-to-use-a-darkui-dark-user-interface-in-winforms-c-sharp,CategoryId
Microsoft Blazor Documentation,https://docs.microsoft.com/en-us/aspnet/core/blazor/?view=aspnetcore-3.1,CategoryId
Krypton Extended Suite,https://github.com/Wagnerp/Krypton-Toolkit-Suite-Extended-NET-5.470/blob/master/Examples.md,CategoryId
Krypton Toolkit Documentation,https://csharpdoc.hotexamples.com/namespace/ComponentFactory.Krypton.Toolkit,CategoryId
ML.Net Image Classifier,https://medium.com/machinelearningadvantage/detect-any-object-in-an-image-using-c-and-ml-net-machine-learning-50e606b821a3,CategoryId
ChartJs.Blazor Examples,https://www.iheartblazor.com/welcome,CategoryId
Here is the associated github page:,https://github.com/mariusmuntean/ChartJs.Blazor,HighUse
ChartJS Docs,https://www.chartjs.org/docs/latest/charts/,CategoryId
OI Icons,http://useiconic.com/open#icons,CategoryId
Windows IIS Setup,https://basicsofwebdevelopment.wordpress.com/2016/05/23/a-simple-guide-to-setting-up-home-server-using-iis-and-asp-net/,CategoryId
Server Box with Raid,https://www.newegg.com/p/2NS-0006-329R6,CategoryId
BLAZOR - IndexeDb,https://blog.stevensanderson.com/2019/08/03/blazor-indexeddb/,CategoryId
BLAZOR - University,https://blazor-university.com/,CategoryId
BLAZOR - Study Blazor,https://studyblazor.com/,CategoryId
HTML Color Picker,https://htmlcolorcodes.com/color-picker/,CategoryId
Rivian - Basecamp,https://basecamp.rivian.com,CategoryId
AppData,C:\Users\rrj3fh\AppData\Local,CategoryId
C# Drag & drop datagridview rows,https://www.codeproject.com/Articles/811035/Drag-and-Move-rows-in-DataGridView-Control,CategoryId
BLAZOR - Awesome Blazor,https://github.com/AdrienTorris/awesome-blazor,CategoryId
BLAZOR - On Sharepoint,https://github.com/smjltd/BlazorPoint,CategoryId
BLAZOR - Table,https://github.com/IvanJosipovic/BlazorTable,CategoryId
BLAZOR - Fiddle,https://blazorfiddle.com/,CategoryId
BLAZOR - Extension,https://github.com/BlazorExtensions,CategoryId
BLAZOR - Skclusive UI,https://skclusive.github.io/Skclusive.Material.Docs/chip,CategoryId
Json to SQL Server,https://www.sqlshack.com/import-json-data-into-sql-server/,CategoryId
Json to SQL Server 2,https://www.mssqltips.com/sqlservertip/5295/different-ways-to-import-json-files-into-sql-server/,CategoryId
Json to XML Storage,https://www.c-sharpcorner.com/blogs/save-array-or-list-of-records-as-xml-data-to-sql-server-in-one-call,CategoryId
Casandra One Note,https://sites.inside-share.bosch.com/sites/159743/_layouts/15/WopiFrame2.aspx?sourcedoc=%2Fsites%2F159743%2FSiteAssets%2FURS%5FSP%5F2013%20Notebook&action=edit&wd=target%28PjM%2Eone%7CE8776DE1%2D12B4%2D4D60%2D9F50%2D5F164D65BC36%2FPjM%20directory%7C1FAC25FE%2D8249%2D4D8C%2DBD1B%2DBEAFA23B634F%2F%29,CategoryId
WebView2 Fix 2,https://stackoverflow.com/questions/59711826/chromium-edge-based-webview2-does-not-work,CategoryId
WebView2 Fix 1,https://docs.microsoft.com/en-us/microsoft-edge/webview2/concepts/distribution,CategoryId
Lucid - ShareFile Portal,https://lucidmotors.sharefile.com/Authentication/Login,CategoryId
Canoo - JT Portal,https://uatapps.justransform.com,CategoryId
BUs - VDS Acq Folder,\\bosch.com\dfsrb\DfsUS\DIV\CC\Prj\PS\Sensors\Projects,CategoryId
MBA top 50,https://www.bestcollegesonline.org/most-affordable/online-executive-mba/,CategoryId
GM / Cruise Share Folder,https://bosch.sharepoint.com/sites/msteams_9386085-Contracts/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2Fmsteams%5F9386085%2DContracts%2FShared%20Documents%2FContracts%2C%20Customer%2FCruise%2F04%20Supply%20Agreement%20%28US%29&p=true&fromShare=true&ga=1,CategoryId
Home Point Financial,https://loansphereservicingdigital.bkiconnect.com/homepointfinancial/#/login,CategoryId
Bosch Events,https://bosch.events/user/login,CategoryId
Ford - Sales Folder,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\Shared\Customers\Ford,CategoryId
SCS 2 Restricted,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\Restricted,CategoryId
SCS 5 Customers,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Customers,CategoryId
SCS TnR,https://rb-tracker.bosch.com/tracker01/issues/?filter=123882,CategoryId
PAP Docs,https://sites.inside-share4.bosch.com/sites/086460/default.aspx?RootFolder=%2Fsites%2F086460%2FDocuments%2FCustomer%20Presentations&FolderCTID=0x0120003E20EE7615217746B614E50573131AFC&View=%7BEC802D78%2D995C%2D4050%2DBC9B%2D1221306D6493%7D,CategoryId
Delta Electronics - Sales Folder,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\Shared\Customers\DeltaElectronics,CategoryId
EM-AM Electrification,https://sites.inside-share3.bosch.com/sites/140287/default.aspx,CategoryId
House Painter,https://certapro.com/paint-color-ideas/,CategoryId
Bosch Market Reports,https://connect.bosch.com/wikis/home?lang=en-us#!/wiki/W495c1aefa6c9_4988_968b_354ed9737bd2/page/Market%20Reports,CategoryId
Trips Folder,C:\Users\rrj3fh\OneDrive - Bosch Group\PersonalDrive\rrj3fh\01_Files\99_Trips,CategoryId
Borg Warner - Sales Folder,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Customers\BorgWarner,CategoryId
GM - Sales Folder,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Customers\GM,CategoryId
SC Navigator,https://inside-docupedia.bosch.com/confluence2/scnavigator,CategoryId
ME Presentations - Connect Page,https://inside-docupedia.bosch.com/confluence/display/MEPP/Presentations+for+ME,CategoryId
TnR Edit Link,https://rb-tracker.bosch.com/tracker17/servicedesk/customer/portal/22/TRS-14961,CategoryId
BLAZOR - Optimizations,https://learn.microsoft.com/en-us/aspnet/core/blazor/performance?view=aspnetcore-3.1,CategoryId
ME Content - Connect Page,https://inside-docupedia.bosch.com/confluence/pages/viewpage.action?pageId=2992746120,CategoryId
SCS JBase,https://www-us.intranet.bosch.com/app/MeSalesDatabase,CategoryId
SCS JBase Folder,\\bosch.com\dfsrb\DfsUS\STC\IT\IntranetUS\app\MeSalesDatabase,CategoryId
GM Rocket Software Login,https://b2bi.rocketsoftware.com/login,CategoryId
HSA Healthy Equity,https://my.healthequity.com/ClientLogin.aspx,CategoryId
SCS 4 Commercial,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Commercial,CategoryId
SCS 6 Engineering,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Engineering,CategoryId
SCS 7 General,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\Shared\General_Items,CategoryId
Forma $500 Account,https://client.joinforma.com/,CategoryId
Sales Rep Sharepoint,https://sites.share2.bosch.com/sites/139762/Documents/Forms/AllItems.aspx?RootFolder=%2Fsites%2F139762%2FDocuments%2FAutomotive%20Electronics,CategoryId
GM Supply Power,https://gmsupplypower.covisint.com/web/portal/home,CategoryId
GM GDimps,https://gdimps-ocf.gmsupplypower.com/ui/index.html?gateway=https://gdimps-ocf.gmsupplypower.com/api;#!/RFQ_Search,CategoryId
Dart Bank Portal,https://my.dart.bank/login,CategoryId
Tesla B2P - Sharedrive,https://bosch.sharepoint.com/sites/msteams_4066590/Shared%20Documents/Forms/AllItems.aspx?e=5%3Ac14ba85df11146bab6105772b63ebe69&sharingv2=true&fromShare=true&at=9&CID=5e68c8c0%2Dc399%2D48c4%2D91c6%2D0ba1e9eef1aa&FolderCTID=0x01200003D3D315C869CE4880DA329ADBA9EBCA&id=%2Fsites%2Fmsteams%5F4066590%2FShared%20Documents%2FGeneral%2FTesla%20GBB%20B2P%20Opportunity,CategoryId
Perplexity,https://www.perplexity.ai/,CategoryId
RBNA Corporate Policies,https://bgn.bosch.com/FIRSTspiritWeb/wcms/wcms_rgam/en/bosch-globalnet/02-organization/regional-subsidiaries-rg/north-america/topics/rbna-corporate-policies-and-procedures/rbna-corp-policy-and-multilanes.html?cmcall=true&perm_link=wcms_rgam_-RBNA_Corp_Policy_and_MultiLanes-EN,CategoryId
John Sharepoint,https://sites.inside-share4.bosch.com/sites/062222/default.aspx,CategoryId
Bosch Auto Semiconductors,https://www.bosch-semiconductors.com/,CategoryId
Ask Bosch,https://askbosch.ai.bosch.com/en/,CategoryId
+1 HC Sales WCC,https://rb-wam.bosch.com/workon01/workflow03/browse/RBPEREQ-461265,CategoryId
Sentry Mgmt,https://login.clickpay.com/sentry/,CategoryId
Qorvo - Sales Folder,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Customers\Qorvo,CategoryId
PIP Folder,C:\Users\rrj3fh\OneDrive - Bosch Group\PersonalDrive\rrj3fh\01_Files\23_HealthItems\04_PIPLetter,CategoryId
ASP HttpClient Net8,https://learn.microsoft.com/en-us/aspnet/core/blazor/security/webassembly/additional-scenarios?view=aspnetcore-8.0,CategoryId
ME Sales Power BI,https://rb-powerbi.bosch.com/reports/powerbi/PBI/Production/AESCNAProductSalesDashboard_923846?rs:embed=true,CategoryId
SCS Links,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\Shared\General_Items\SCS_Shortcuts.html,CategoryId
Loopnet,https://www.loopnet.com/,CategoryId
MSTR Tracker,https://www.mstr-tracker.com/,CategoryId
Self Storage Howell,https://www.outofsitestoragemi.com/#/unit/listing,CategoryId
Saylor Tracker,https://saylortracker.com/,CategoryId
SCS Docupedia,https://inside-docupedia.bosch.com/confluence2/display/MESCSNA,CategoryId
Lucid - Sales Folder,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Customers\Lucid,CategoryId
xMems - Sales Folder,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Customers\xMEMS,CategoryId
Personnel Req (PANF) Workon,https://rb-wam.bosch.com/workon01/workflow03/secure/CreateIssue.jspa?pid=10242&issuetype=56,CategoryId
+1 HC FAE WCC,https://rb-wam.bosch.com/workon01/workflow03/browse/RBPEREQ-461267,CategoryId
Receipt Maker,https://makereceipt.com/create-receipt1.php,CategoryId
Rivian - Sales Folder,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Customers\03_SalesReps\BAESales\10_Customers\Rivian,CategoryId
Distribution,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Customers\02_Distribution,CategoryId
PAP Sharepoint,https://sites.inside-share4.bosch.com/sites/086460/default.aspx,CategoryId
Weekly Tracker,https://bosch-my.sharepoint.com/:x:/r/personal/rrj3fh_bosch_com/Documents/Microsoft Teams Chat Files/WeeklyMeetingTracker 1.xlsx?d=w7956d59135a04dbf87584280b1a2cb88&csf=1&web=1&e=lVJgbI,CategoryId
Act Dashboard - SF,https://bosch-bbm.lightning.force.com/lightning/r/Dashboard/01ZTy00000054uD/view,CategoryId
Image Base64,https://www.base64-image.de/,CategoryId
Syntiant - Sales Folder,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Customers\Syntiant,CategoryId
Hamburg Twnp Pay Bill,https://www.hamburg.mi.us/government/township_treasurer/search_tax_info/here.php,CategoryId
Exchange Rates,https://bgn.bosch.com/FIRSTspiritWeb/wcms/wcms_corpfunc/en/bosch-globalnet/02-organization/corporate-functions/cfi/organization/cfif/organization/cfif-fo/topics/c-fif-fo-rates.html?cmcall=true&perm_link=wcms_corpfunc_-topics__34-EN,CategoryId
SiTime - Sales Folder,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Customers\SiTime,CategoryId
Bosch Discounts,https://connect.bosch.com/wikis/home?lang=en-us#!/wiki/W5769e0565446_4e7b_94c4_f0195afb67db/page/U.S.%20Bosch%20Associate%20Discounts,CategoryId
Syntiant - Sharedrive,https://bosch.sharepoint.com/sites/20028110/Shared%20Documents/Forms/AllItems.aspx?e=5%3Ab33e73d480494597b92ed3e608d5ea55&sharingv2=true&fromShare=true&at=9&CID=c7d9309e%2D42b8%2D4539%2Db9cb%2Dd670474fb60d&FolderCTID=0x012000977BB05A5F9389419F3A07ECEE20FD6D&id=%2Fsites%2F20028110%2FShared%20Documents%2FRandolph,CategoryId
Exo - Sales Folder,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Customers\eXo,CategoryId
Stellantis - Sales Folder,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Customers\Stellantis,CategoryId
HP - Sales Folder,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Customers\HP,CategoryId
Leather Bag Order,https://therealleathercompany.com/10146447423/orders/068ab08b10755307fc78f4b12dfa4b49,CategoryId
Ask Bosch - Gemini Enterprise,https://vertexaisearch.cloud.google.com/eu/home/cid/bcb383f1-26d8-41fd-9a55-623f7e93de92,CategoryId
